consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Puedo entregar los requisitos en formato físico y digital?,requisitos,"Sí, en muchos casos se permite el formato digital para agilizar el proceso, pero se solicita entregar los originales al momento de validar la matrícula.","¿Puedo entregar los requisitos en formato físico y digital? Sí, en muchos casos se permite el formato digital para agilizar el proceso, pero se solicita entregar los originales al momento de validar la matrícula.",¿Puedo entregar los requisitos en formato físico y digital? requisitos
¿Debo presentar comprobante de afiliación a salud como requisito?,requisitos,"Sí, es obligatorio presentar un comprobante vigente de afiliación a una EPS o seguro médico para formalizar la inscripción.","¿Debo presentar comprobante de afiliación a salud como requisito? Sí, es obligatorio presentar un comprobante vigente de afiliación a una EPS o seguro médico para formalizar la inscripción.",¿Debo presentar comprobante de afiliación a salud como requisito? requisitos
¿Qué documentos necesito si soy estudiante transferido?,requisitos,"Debes presentar tu historial académico oficial, constancia de no sanción y el plan de estudios anterior.","¿Qué documentos necesito si soy estudiante transferido? Debes presentar tu historial académico oficial, constancia de no sanción y el plan de estudios anterior.",¿Qué documentos necesito si soy estudiante transferido? requisitos
¿Debo adjuntar fotografías recientes para inscribirme?,requisitos,"Sí, se solicitan generalmente dos o cuatro fotografías tamaño documento en fondo blanco y a color.","¿Debo adjuntar fotografías recientes para inscribirme? Sí, se solicitan generalmente dos o cuatro fotografías tamaño documento en fondo blanco y a color.",¿Debo adjuntar fotografías recientes para inscribirme? requisitos
¿Es necesario entregar una carta de aceptación para inscribirme?,requisitos,"Sí, en el caso de programas especiales o convenios, es obligatorio presentar la carta de aceptación firmada.","¿Es necesario entregar una carta de aceptación para inscribirme? Sí, en el caso de programas especiales o convenios, es obligatorio presentar la carta de aceptación firmada.",¿Es necesario entregar una carta de aceptación para inscribirme? requisitos
¿Cuándo se requiere presentar una carta de aceptación como parte del proceso de inscripción?,requisitos,"Es requerida si ingresas por convenio, transferencia externa o programas especiales. Debe estar firmada por la coordinación académica correspondiente.","¿Cuándo se requiere presentar una carta de aceptación como parte del proceso de inscripción? Es requerida si ingresas por convenio, transferencia externa o programas especiales. Debe estar firmada por la coordinación académica correspondiente.",¿Cuándo se requiere presentar una carta de aceptación como parte del proceso de inscripción? requisitos
¿Puedo solicitar una revisión de examen final?,calificaciones,"Sí, tienes derecho a solicitar revisión formal dentro de los tres días hábiles posteriores a la publicación de la calificación.","¿Puedo solicitar una revisión de examen final? Sí, tienes derecho a solicitar revisión formal dentro de los tres días hábiles posteriores a la publicación de la calificación.",¿Puedo solicitar una revisión de examen final? calificaciones
¿Qué es la nota acumulada en una materia?,calificaciones,Es el resultado del promedio ponderado de todas las actividades evaluativas realizadas durante el curso.,¿Qué es la nota acumulada en una materia? Es el resultado del promedio ponderado de todas las actividades evaluativas realizadas durante el curso.,¿Qué es la nota acumulada en una materia? calificaciones
¿Cómo afectan los talleres al promedio final?,calificaciones,Los talleres suman como parte del porcentaje de evaluación continua si están incluidos en el plan de la asignatura.,¿Cómo afectan los talleres al promedio final? Los talleres suman como parte del porcentaje de evaluación continua si están incluidos en el plan de la asignatura.,¿Cómo afectan los talleres al promedio final? calificaciones
¿Qué nota mínima necesito para mantener una beca académica?,calificaciones,Debes mantener un promedio igual o superior a 4.0 dependiendo de los criterios del programa de becas.,¿Qué nota mínima necesito para mantener una beca académica? Debes mantener un promedio igual o superior a 4.0 dependiendo de los criterios del programa de becas.,¿Qué nota mínima necesito para mantener una beca académica? calificaciones
¿Las notas se pueden consultar por la aplicación móvil?,calificaciones,"Sí, puedes acceder a tus calificaciones desde la app institucional con tu usuario y contraseña.","¿Las notas se pueden consultar por la aplicación móvil? Sí, puedes acceder a tus calificaciones desde la app institucional con tu usuario y contraseña.",¿Las notas se pueden consultar por la aplicación móvil? calificaciones
¿Qué significa estar en prueba académica?,calificaciones,Estás en una situación de alerta por bajo rendimiento y se te asigna un plan de mejora con seguimiento.,¿Qué significa estar en prueba académica? Estás en una situación de alerta por bajo rendimiento y se te asigna un plan de mejora con seguimiento.,¿Qué significa estar en prueba académica? calificaciones
¿Qué implica estar bajo seguimiento académico por bajo rendimiento?,calificaciones,Significa que tu desempeño ha sido inferior al esperado. Se te asigna un tutor y debes cumplir un plan de mejora aprobado por tu facultad.,¿Qué implica estar bajo seguimiento académico por bajo rendimiento? Significa que tu desempeño ha sido inferior al esperado. Se te asigna un tutor y debes cumplir un plan de mejora aprobado por tu facultad.,¿Qué implica estar bajo seguimiento académico por bajo rendimiento? calificaciones
¿Cuántas veces puedo solicitar revisión de nota?,calificaciones,"Normalmente puedes solicitar revisión una sola vez por cada evaluación, siempre dentro del periodo permitido.","¿Cuántas veces puedo solicitar revisión de nota? Normalmente puedes solicitar revisión una sola vez por cada evaluación, siempre dentro del periodo permitido.",¿Cuántas veces puedo solicitar revisión de nota? calificaciones
¿Se puede anular una calificación registrada por error?,calificaciones,"Sí, si el docente lo justifica y se presenta el soporte ante el departamento académico.","¿Se puede anular una calificación registrada por error? Sí, si el docente lo justifica y se presenta el soporte ante el departamento académico.",¿Se puede anular una calificación registrada por error? calificaciones
¿Puedo ver el detalle de cómo se calculó mi nota final?,calificaciones,"Sí, puedes solicitar el desglose de calificaciones directamente al profesor responsable de la asignatura.","¿Puedo ver el detalle de cómo se calculó mi nota final? Sí, puedes solicitar el desglose de calificaciones directamente al profesor responsable de la asignatura.",¿Puedo ver el detalle de cómo se calculó mi nota final? calificaciones
¿Cuáles son las principales instalaciones de la universidad?,instalaciones,"Las principales instalaciones de la universidad incluyen bibliotecas, laboratorios, salas de cómputo, canchas deportivas, cafeterías y auditorios.","¿Cuáles son las principales instalaciones de la universidad? Las principales instalaciones de la universidad incluyen bibliotecas, laboratorios, salas de cómputo, canchas deportivas, cafeterías y auditorios.",¿Cuáles son las principales instalaciones de la universidad? instalaciones
¿Cuáles son los principales requisitos que exige la universidad para los estudiantes?,requisitos,"Los principales requisitos que exige la universidad para los estudiantes incluyen haber aprobado el examen de admisión, presentar documentos personales, certificado de estudios anteriores y realizar el proceso de matrícula en las fechas establecidas.","¿Cuáles son los principales requisitos que exige la universidad para los estudiantes? Los principales requisitos que exige la universidad para los estudiantes incluyen haber aprobado el examen de admisión, presentar documentos personales, certificado de estudios anteriores y realizar el proceso de matrícula en las fechas establecidas.",¿Cuáles son los principales requisitos que exige la universidad para los estudiantes? requisitos
¿Cuáles son los principales trámites que hacen los estudiantes en la universidad?,tramites,"Entre los principales trámites que hacen los estudiantes en la universidad se encuentran la matrícula, solicitudes de certificados, inscripción a materias, cancelación de asignaturas y solicitud de homologaciones.","¿Cuáles son los principales trámites que hacen los estudiantes en la universidad? Entre los principales trámites que hacen los estudiantes en la universidad se encuentran la matrícula, solicitudes de certificados, inscripción a materias, cancelación de asignaturas y solicitud de homologaciones.",¿Cuáles son los principales trámites que hacen los estudiantes en la universidad? tramites
